,評価点,評価値,最適値
0,"(0.6726812124252319, 0.7010285258293152, 0.10770922899246216, 0.17163515090942383, 0.7799638509750366)",1.5933445194419633,
1,"(0.9313187003135681, 0.21201133728027344, 0.10116124153137207, 0.2015971541404724, 0.10846763849258423)",0.9749435666349875,
2,"(0.2165096402168274, 0.47411197423934937, 0.07123541831970215, 0.3023550510406494, 0.32009363174438477)",0.47061158322024,0.47061158322024
3,"(0.628203809261322, 0.887179434299469, 0.04936307668685913, 0.10061401128768921, 0.8129987120628357)",1.8552541730375829,
4,"(0.2843151092529297, 0.9427839517593384, 0.34862709045410156, 0.7599160075187683, 0.40388715267181396)",1.831814679819562,
5,"(0.6091445684432983, 0.8101894855499268, 0.8001490235328674, 0.940015971660614, 0.00015664100646972656)",2.5513326191336816,
6,"(0.8018109798431396, 0.510798454284668, 0.0738038420677185, 0.37361955642700195, 0.03944540023803711)",1.050410427945227,
7,"(0.9494736790657043, 0.5455041527748108, 0.7989730834960938, 0.005178332328796387, 0.9167550802230835)",2.677899728324924,
8,"(0.7377364039421082, 0.5609786510467529, 0.8735395073890686, 0.7350963950157166, 0.3607980012893677)",2.2925652273007096,
9,"(0.8272662162780762, 0.8543577790260315, 0.39225298166275024, 0.5530804395675659, 0.16784608364105225)",1.9022292892265469,
10,"(-0.05049458449294711, 0.4736734047024159, -0.6931105789314764, -0.7080678783874768, 0.3200936325207627)",1.3111385259967,0.47061158322024
11,"(-0.8002690590037806, 0.4741119742248573, 0.062066655801026556, 0.30687416875659757, -0.5627528234436019)",1.2799274964083098,0.47061158322024
12,"(-0.1714844616592173, -1.0, 1.0, -1.0, -1.0)",4.029406920590551,0.47061158322024
13,"(0.22418020618073353, -0.9998178333149603, -0.9995639832302055, 0.30235505307547256, 0.4150503651023779)",2.3127060049207815,0.47061158322024
14,"(-1.0, -0.7394944794298174, 0.38184793372926906, -0.5091833364533556, 1.0)",2.95192759972226,0.47061158322024
15,"(1.0, -0.21470113080224829, -0.918094765956367, 1.0, -1.0)",3.88899457484424,0.47061158322024
16,"(-1.0, 0.7584959764228152, -1.0, 1.0, 1.0)",4.5753161462496,0.47061158322024
17,"(1.0, 1.0, -0.24414033410787658, -1.0, -1.0)",4.059604502738305,0.47061158322024
18,"(-1.0, -1.0, -0.37065368638383783, 1.0, -0.3672914624189199)",3.2722871735957573,0.47061158322024
19,"(1.0, -1.0, 0.7098759734826741, 0.45668078327724415, -0.6085077337058591)",3.082762897522532,0.47061158322024
20,"(-1.0, 1.0, 1.0, -1.0, 0.09300414353345242)",4.008649770714391,0.47061158322024
21,"(-1.0, -0.23981249076428077, -1.0, -1.0, -0.9264569457740411)",3.9158325030995327,0.47061158322024
22,"(-0.07853150591589647, -1.0, 1.0, 1.0, 1.0)",4.006167197421418,0.47061158322024
23,"(1.0, -0.41459174770158186, -1.0, -1.0, 1.0)",4.171886317262253,0.47061158322024
24,"(0.306004757143058, -0.2920617884385496, 0.18893077015085963, -0.534782708100167, -0.29225893273654024)",0.586041664217153,0.47061158322024
25,"(0.4648727324961161, -0.17081997693205425, 1.0, -1.0, 0.6248250356459787)",2.6356924471074716,0.47061158322024
26,"(-0.1999730205370864, 1.0, -1.0, 0.4921753142138031, -0.9112462323748716)",3.11259544488158,0.47061158322024
27,"(-1.0, 0.05931095276220901, 1.0, 1.0, -1.0)",4.003517789117561,0.47061158322024
28,"(-0.4158609915787003, -0.11379748851041702, -0.166893816447415, 0.5259388389072615, 0.6574518361402242)",0.9225983577917524,0.47061158322024
29,"(-0.5588816314608772, -0.4752201921117181, 0.8634406564916665, 0.04868155898171962, -0.05641451762044635)",1.2892651682410683,0.47061158322024
30,"(0.7138336686500598, -1.0, -0.7130724840403203, -0.6801282127140824, -0.7840004520817778)",3.095261968587921,0.47061158322024
31,"(0.18639299287362346, 1.0, 1.0, -0.12426266810723924, -1.0)",3.0501835584775163,0.47061158322024
32,"(-0.603951877182494, -1.0, -0.4813790207018067, -1.0, 0.5233342069075292)",2.8703623236436213,0.47061158322024
33,"(0.09587712805483907, 0.18285353326257545, -0.5361169627761777, 1.0, 0.06857757096868707)",1.3347521193269705,0.47061158322024
